,Unnamed: 0,cell,F_lifetime_mean_avg,F_lifetime_max_avg,F_lifetime_99pct_avg,dataset
0,0,myo_cell_7,185.39776611328125,2785.939318847656,863.0958096519468,myo
1,1,pax_cell_5,274.4290237426758,6041.1807861328125,1402.32420526123,pax
2,2,pax_cell_2,274.4290237426758,6041.1807861328125,1402.32420526123,pax
3,3,myo_cell_6,185.39776611328125,2785.939318847656,863.0958096519468,myo
4,4,myo_cell_1,185.39776611328125,2785.939318847656,863.0958096519468,myo
5,5,17_cell_3,310.04798583984376,3701.803369140625,1433.6028569978394,17
6,6,08_cell_1,393.46978759765625,8085.3736572265625,2954.897002037048,08
7,7,myo_cell_0,185.39776611328125,2785.939318847656,863.0958096519468,myo
8,8,08_cell_3,393.46978759765625,8085.3736572265625,2954.897002037048,08
9,9,17_cell_2,310.04798583984376,3701.803369140625,1433.6028569978394,17
10,10,11_cell_1,211.11852264404297,3576.5538940429688,1000.4021667731561,11
11,11,myo_cell_4,185.39776611328125,2785.939318847656,863.0958096519468,myo
12,12,myo_cell_9,185.39776611328125,2785.939318847656,863.0958096519468,myo
13,13,11_cell_0,211.11852264404297,3576.5538940429688,1000.4021667731561,11
14,14,17_cell_0,310.04798583984376,3701.803369140625,1433.6028569978394,17
15,15,17_cell_1,310.04798583984376,3701.803369140625,1433.6028569978394,17
16,16,10_cell_2,241.8384017944336,5740.30322265625,1760.5420631796514,10
17,17,myo_cell_5,185.39776611328125,2785.939318847656,863.0958096519468,myo
18,18,08_cell_4,393.46978759765625,8085.3736572265625,2954.897002037048,08
19,19,10_cell_3,241.8384017944336,5740.30322265625,1760.5420631796514,10
20,20,pax_cell_4,274.4290237426758,6041.1807861328125,1402.32420526123,pax
21,21,myo_cell_8,185.39776611328125,2785.939318847656,863.0958096519468,myo
22,22,11_cell_4,211.11852264404297,3576.5538940429688,1000.4021667731561,11
23,23,10_cell_4,241.8384017944336,5740.30322265625,1760.5420631796514,10
24,24,11_cell_2,211.11852264404297,3576.5538940429688,1000.4021667731561,11
25,25,myo_cell_2,185.39776611328125,2785.939318847656,863.0958096519468,myo
26,26,10_cell_1,241.8384017944336,5740.30322265625,1760.5420631796514,10
27,27,pax_cell_1,274.4290237426758,6041.1807861328125,1402.32420526123,pax
28,28,myo_cell_3,185.39776611328125,2785.939318847656,863.0958096519468,myo
29,29,17_cell_4,310.04798583984376,3701.803369140625,1433.6028569978394,17
30,30,08_cell_2,393.46978759765625,8085.3736572265625,2954.897002037048,08
