,cell,zyxin_lifetime_mean_outside,zyxin_lifetime_mean_inside,actin_lifetime_mean_outside,actin_lifetime_mean_inside
0,myo_cell_7,8.604827769597373,149.04297078450517,9.224546686808267,570.8330851236979
1,pax_cell_5,13.483159764607747,107.86587651570639,11.25226656595866,41.712534077962225
2,pax_cell_2,12.871186224619546,76.13374735514323,6.49043885866801,9.335152753194173
3,myo_cell_6,8.35086359516267,79.28516929380353,6.539653655021422,94.80758347049837
4,myo_cell_1,10.75953747431437,52.13757870992024,11.724144426981605,245.05651601155603
5,17_cell_3,8.746768824259439,186.01697998046868,32.31951656341552,512.7097045898438
6,08_cell_1,19.077910931905112,125.74184265136718,0.0,0.0
7,myo_cell_0,13.725386873881025,194.89409230550126,8.808241081237794,67.19322408040365
8,08_cell_3,23.27946643829345,154.74722646077473,0.0,0.0
9,17_cell_2,7.587802505493162,87.03293762207032,31.24173857371012,585.2155985514323
10,11_cell_1,4.5511856873830165,30.297868601481113,38.1839074452718,203.54460856119792
11,myo_cell_4,10.15957873662313,41.178596750895174,7.134154001871745,134.53697611490884
12,myo_cell_9,9.06430590947469,656.1337483723958,5.969592380523681,156.42281188964847
13,11_cell_0,5.343722709019978,139.00130004882814,63.85469118754068,314.89161478678386
14,17_cell_0,7.728253698348998,114.62998199462889,29.13814061482748,385.20480194091795
15,17_cell_1,7.341417312622071,38.486209869384766,32.5020970026652,301.43053385416664
16,10_cell_2,6.305235719680786,15.18340113957723,0.0,0.0
17,myo_cell_5,9.014355913798012,160.66065521240233,30.50111776987711,3085.1149251302086
18,08_cell_4,29.809085782368978,258.9898010253906,0.0,0.0
19,10_cell_3,6.322177537282308,24.781251080830888,0.0,0.0
20,pax_cell_4,13.198682594299322,41.0149907430013,12.006581910451251,21.315450350443523
21,myo_cell_8,8.522052971522012,142.23546956380207,8.825194104512533,648.3425699869791
22,11_cell_4,4.691028849283854,52.990468724568686,37.79606870015462,299.47282460530596
23,10_cell_4,9.045209280649821,44.977582677205405,0.0,0.0
24,11_cell_2,5.289657576878866,101.37171630859376,39.68624738057455,216.30708211263027
25,myo_cell_2,11.922949441274008,204.94344482421874,21.21141872406006,522.3122629801433
26,10_cell_1,6.370426479975382,26.126419576009113,0.0,0.0
27,pax_cell_1,12.665058263142905,159.3423807779948,6.30841924349467,54.97885233561198
28,myo_cell_3,12.109737300872803,143.89516601562502,13.025575129191077,292.10754496256504
29,17_cell_4,7.407529926300049,80.50959879557293,32.4056634902954,464.70579325358074
30,08_cell_2,18.688472112019856,123.95339864095052,0.0,0.0
